,1. open,2. high,3. low,4. close,5. volume,day,day_of_month,month
2021-06-24,0.53,0.53,0.53,0.53,0,3,24,6
2021-06-23,0.53,0.53,0.53,0.53,0,2,23,6
2021-06-22,0.53,0.53,0.53,0.53,0,1,22,6
2021-06-21,0.53,0.53,0.53,0.53,0,0,21,6
2021-06-18,0.53,0.53,0.53,0.53,0,4,18,6
2021-06-17,0.53,0.53,0.53,0.53,0,3,17,6
2021-06-16,0.53,0.53,0.53,0.53,0,2,16,6
2021-06-15,0.53,0.53,0.53,0.53,0,1,15,6
2021-06-14,0.53,0.53,0.53,0.53,0,0,14,6
2021-06-11,0.535,0.535,0.535,0.535,0,4,11,6
2021-06-10,0.535,0.535,0.535,0.535,16700,3,10,6
2021-06-09,0.535,0.535,0.535,0.535,0,2,9,6
2021-06-08,0.535,0.535,0.535,0.535,0,1,8,6
2021-06-07,0.535,0.535,0.535,0.535,0,0,7,6
2021-06-04,0.535,0.535,0.535,0.535,0,4,4,6
2021-06-03,0.535,0.535,0.535,0.535,0,3,3,6
2021-06-02,0.535,0.535,0.535,0.535,0,2,2,6
2021-06-01,0.535,0.535,0.535,0.535,0,1,1,6
2021-05-28,0.535,0.535,0.535,0.535,0,4,28,5
2021-05-27,0.53,0.53,0.53,0.53,0,3,27,5
2021-05-26,0.535,0.535,0.535,0.535,0,2,26,5
2021-05-25,0.54,0.54,0.54,0.54,0,1,25,5
2021-05-24,0.535,0.535,0.535,0.535,0,0,24,5
2021-05-21,0.535,0.535,0.535,0.535,0,4,21,5
2021-05-20,0.535,0.535,0.535,0.535,0,3,20,5
2021-05-19,0.535,0.535,0.535,0.535,0,2,19,5
2021-05-18,0.535,0.535,0.535,0.535,0,1,18,5
2021-05-17,0.535,0.535,0.535,0.535,0,0,17,5
2021-05-14,0.535,0.535,0.535,0.535,0,4,14,5
2021-05-13,0.53,0.53,0.53,0.53,11000,3,13,5
2021-05-12,0.515,0.515,0.515,0.515,13519,2,12,5
2021-05-11,0.5497,0.5497,0.5497,0.5497,0,1,11,5
2021-05-10,0.5497,0.5497,0.5497,0.5497,0,0,10,5
2021-05-07,0.5497,0.5497,0.5497,0.5497,0,4,7,5
2021-05-06,0.5497,0.5497,0.5497,0.5497,0,3,6,5
2021-05-05,0.5497,0.5497,0.5497,0.5497,0,2,5,5
2021-05-04,0.5497,0.5497,0.5497,0.5497,0,1,4,5
2021-05-03,0.5497,0.5497,0.5497,0.5497,905,0,3,5
